image_path,category,color,style,season,sales_count,description,price,locale
images/zh/dress_red_001.jpg,dress,red,casual,spring,3200,韩版收腰显瘦红色连衣裙春款,89.0,zh
images/zh/dress_white_002.jpg,dress,white,elegant,summer,2980,法式茶歇白色雪纺连衣裙短袖,129.0,zh
images/zh/shoes_white_003.jpg,shoes,white,sport,summer,4100,百搭小白鞋透气运动鞋情侣款,159.0,zh
images/zh/bag_black_004.jpg,bag,black,formal,autumn,1850,真皮单肩包女士通勤款大容量,259.0,zh
images/zh/coat_beige_005.jpg,coat,beige,formal,winter,920,赫本风羊毛大衣中长款显瘦,499.0,zh
images/zh/pants_blue_006.jpg,pants,blue,casual,spring,2750,高腰直筒牛仔裤显腿长,109.0,zh
images/zh/sweater_pink_007.jpg,sweater,pink,sweet,autumn,1620,慵懒风针织毛衣套头宽松,89.0,zh
images/zh/skirt_black_008.jpg,skirt,black,formal,autumn,1330,a字半身裙包臀短裙修身,79.0,zh
images/zh/jacket_green_009.jpg,jacket,green,casual,spring,990,工装夹克外套男女同款宽松,179.0,zh
images/zh/scarf_red_010.jpg,scarf,red,sweet,winter,2100,新年红色羊毛围巾礼物送女友,69.0,zh
images/en/tshirt_white_011.jpg,tshirt,white,casual,summer,5200,Classic cotton crewneck t-shirt soft fit,19.99,en
images/en/jeans_blue_012.jpg,jeans,blue,casual,autumn,3800,High waist slim straight denim jeans,49.99,en
images/en/sneakers_black_013.jpg,sneakers,black,sport,spring,4500,Lightweight breathable running sneakers,79.99,en
images/en/hoodie_grey_014.jpg,hoodie,grey,casual,winter,2600,Fleece-lined pullover hoodie unisex,39.99,en
images/en/dress_navy_015.jpg,dress,navy,elegant,summer,1700,Midi linen wrap dress sleeveless,89.99,en
images/en/blazer_camel_016.jpg,blazer,camel,formal,autumn,1240,Oversized wool-blend blazer office wear,129.99,en
images/en/sandals_tan_017.jpg,sandals,tan,casual,summer,2100,Leather strappy flat sandals,59.99,en
images/ja/tshirt_white_018.jpg,tshirt,white,casual,summer,820,ベーシック白Tシャツコットン100%,2480.0,ja
images/ja/coat_navy_019.jpg,coat,navy,formal,winter,640,ロングチェスターコートウール混紡,12800.0,ja
images/ko/sneakers_white_020.jpg,sneakers,white,sport,spring,1180,데일리 화이트 스니커즈 남여공용,55000.0,ko
images/ko/dress_floral_021.jpg,dress,floral,sweet,spring,910,꽃무늬 미니 원피스 여름 데이트룩,42000.0,ko
